normalization,graph_file,graph_stem,graph_path,status,labelled_supernodes,num_supernodes,labeled_summary_graph_path,summary_graph_path,model_name,temperature,label_scheme
,022.pt,022,dataset/analogies/022.pt,skipped_existing,13,21,labeled_summary/entmax/alpha_0.50/node_0.02/022_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/022_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,023.pt,023,dataset/analogies/023.pt,skipped_existing,10,13,labeled_summary/entmax/alpha_0.50/node_0.02/023_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/023_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,024.pt,024,dataset/analogies/024.pt,skipped_existing,18,20,labeled_summary/entmax/alpha_0.50/node_0.02/024_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/024_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,025.pt,025,dataset/analogies/025.pt,skipped_existing,14,24,labeled_summary/entmax/alpha_0.50/node_0.02/025_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/025_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,026.pt,026,dataset/analogies/026.pt,skipped_existing,11,13,labeled_summary/entmax/alpha_0.50/node_0.02/026_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/026_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,027.pt,027,dataset/analogies/027.pt,skipped_existing,15,20,labeled_summary/entmax/alpha_0.50/node_0.02/027_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/027_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,028.pt,028,dataset/analogies/028.pt,skipped_existing,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/028_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/028_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,029.pt,029,dataset/analogies/029.pt,skipped_existing,14,20,labeled_summary/entmax/alpha_0.50/node_0.02/029_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/029_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,030.pt,030,dataset/analogies/030.pt,skipped_existing,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/030_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/030_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,032.pt,032,dataset/analogies/032.pt,skipped_existing,8,10,labeled_summary/entmax/alpha_0.50/node_0.02/032_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/032_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,033.pt,033,dataset/analogies/033.pt,skipped_existing,9,13,labeled_summary/entmax/alpha_0.50/node_0.02/033_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/033_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,034.pt,034,dataset/analogies/034.pt,skipped_existing,10,13,labeled_summary/entmax/alpha_0.50/node_0.02/034_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/034_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,035.pt,035,dataset/analogies/035.pt,skipped_existing,8,10,labeled_summary/entmax/alpha_0.50/node_0.02/035_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/035_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,036.pt,036,dataset/analogies/036.pt,skipped_existing,12,14,labeled_summary/entmax/alpha_0.50/node_0.02/036_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/036_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,037.pt,037,dataset/analogies/037.pt,skipped_existing,9,11,labeled_summary/entmax/alpha_0.50/node_0.02/037_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/037_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
