graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
058.pt,058,dataset/analogies/058.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/058.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/058.pt,gemma-4-31b-it,0.2,one_pass,ok,16,12
059.pt,059,dataset/analogies/059.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/059.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/059.pt,gemma-4-31b-it,0.2,one_pass,ok,15,12
060.pt,060,dataset/analogies/060.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/060.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/060.pt,gemma-4-31b-it,0.2,one_pass,ok,16,14
061.pt,061,dataset/analogies/061.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/061.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/061.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
062.pt,062,dataset/analogies/062.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/062.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/062.pt,gemma-4-31b-it,0.2,one_pass,ok,14,9
063.pt,063,dataset/analogies/063.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/063.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/063.pt,gemma-4-31b-it,0.2,one_pass,ok,13,8
064.pt,064,dataset/analogies/064.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/064.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/064.pt,gemma-4-31b-it,0.2,one_pass,ok,16,14
065.pt,065,dataset/analogies/065.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/065.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/065.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
066.pt,066,dataset/analogies/066.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/066.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/066.pt,gemma-4-31b-it,0.2,one_pass,ok,16,11
067.pt,067,dataset/analogies/067.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/067.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/067.pt,gemma-4-31b-it,0.2,one_pass,ok,17,13
